順位,ダウンロード数,自治体名,データセット・タイトル,リソース名,データセット名,リソースid
247,33,和歌山県,【和歌山県】平成30年度県民経済計算,主-2　県民所得（分配）（構成比）,300004_020300_kenminkeizai,88b1d0a9-cbb7-414c-8fe5-860f28647022
248,33,和歌山県,【和歌山県】平成30年度県民経済計算,付-1　経済活動別県内総生産及び要素所得（平成20年度）,300004_020300_kenminkeizai,f4bc599e-e735-4fa5-b014-c98535b9a41e
249,33,和歌山県,【和歌山県】平成30年度県民経済計算,付-1　経済活動別県内総生産及び要素所得（平成21年度）,300004_020300_kenminkeizai,ae77287e-0f32-4818-8064-d1f29832a607
250,33,和歌山県,【和歌山県】平成30年度県民経済計算,付-1　経済活動別県内総生産及び要素所得（平成25年度）,300004_020300_kenminkeizai,5c5c0e5e-af39-4dcc-920f-21dbd938c6cc
251,33,和歌山県,【和歌山県】市町村民経済計算,市町村内総生産_推移（対前年度増加率）,300004_020300_shichosonminkeizai,731bb8d7-9852-4f24-bfea-3b2e0e08f6b5
252,33,和歌山県,【和歌山県】公共工事等に関する入札情報,入札情報データ取得手順書,300004_081100_koji_nyusatsu_joho,fcfab4e9-1113-49f5-8a34-99fee6124bec
253,33,和歌山県,【和歌山県】令和２年度版 市町村税政の概況,第１ 令和２年度市町村税課税状況等の調（令和２年７月１日現在）,300004_010600_zeiseinogaikyou,319a4f32-bf67-438c-82d5-1ff9365f0cd6
254,33,和歌山県,【和歌山県】市町村歳入歳出決算額の推移（平成27年度～令和元年度）,15 広川町,300004_010600_kessansuii,891fe479-2e0c-418a-9d05-d9cb546e44c5
255,33,和歌山県,【和歌山県】市町村歳入歳出決算額の推移（平成27年度～令和元年度）,17 美浜町,300004_010600_kessansuii,ff46ebf1-fea0-4868-9d82-10f4f0e41fb7
256,33,和歌山県,【和歌山県】令和３年度刊行　県民の友（お知らせ）一覧,令和3年度刊行県民の友（お知らせ）6月,300004_020400_kenmin_tomo_r3_news,b5cbacf6-d863-4eae-b516-8565715d6f4e
257,33,和歌山県,【和歌山県】令和３年度刊行　県民の友（催し）一覧,令和3年度刊行県民の友（催し）　９月,300004_020400_kenmin_tomo_r3_event,1dc0bec4-b409-4801-ae21-16176882b179
258,33,和歌山県,【和歌山県】令和２年度刊行　県民の友（お知らせ）一覧,令和2年度刊行県民の友（お知らせ）2月,300004_020400_kenmin_tomo_r2_news,b386eaf1-5fb0-496c-a2cb-ad23887ca260
259,33,和歌山県,【和歌山県】令和２年度刊行　県民の友（お知らせ）一覧,令和2年度刊行県民の友（お知らせ）3月,300004_020400_kenmin_tomo_r2_news,92e58b94-5b30-4606-9b52-d7d0073a2423
260,33,和歌山県,【和歌山県】令和２年度刊行　県民の友（催し）一覧,令和２年度刊行県民の友（催し）　２月,300004_020400_kenmin_tomo_r2_event,404c1fce-8343-4472-acb8-a75891597c59
261,33,和歌山県,【和歌山県】平成31年度刊行　県民の友（お知らせ）一覧,平成31年度刊行県民の友（お知らせ）10月,300004_020400_kenmin_tomo_h31_news,eb6f0c65-1789-43db-9344-27d9106e194f
262,33,和歌山県,【和歌山県】平成31年度刊行　県民の友（お知らせ）一覧,平成31年度刊行県民の友（お知らせ）2月,300004_020400_kenmin_tomo_h31_news,63d46e9f-753f-417c-845a-0cc1dffd6b94
263,33,和歌山県,【和歌山県】平成31年度刊行　県民の友（お知らせ）一覧,平成31年度刊行県民の友（お知らせ）3月,300004_020400_kenmin_tomo_h31_news,4afa4ab9-8f89-431f-97bc-18beeb4c5dd8
264,33,和歌山県,【和歌山県】平成31年度刊行　県民の友（催し）一覧,平成31年度刊行県民の友（催し）5月,300004_020400_kenmin_tomo_h31_event,f342c6ae-27e3-423c-9d1f-32159ffb888a
265,33,和歌山県,【和歌山県】平成31年度刊行　県民の友（催し）一覧,平成31年度刊行県民の友（催し）1月,300004_020400_kenmin_tomo_h31_event,fb6eb5a7-2496-4774-ad90-8df0632912cd
266,33,和歌山県,【和歌山県】平成31年度刊行　県民の友（催し）一覧,平成31年度刊行県民の友（催し）2月,300004_020400_kenmin_tomo_h31_event,81be2364-6429-4113-909e-389c25533d93
267,33,和歌山県,【和歌山県】平成31年度刊行　県民の友（催し）一覧,平成31年度刊行県民の友（催し）3月,300004_020400_kenmin_tomo_h31_event,57255e4a-cf96-4d3f-8acf-bbd4752cd91a
268,33,和歌山県,【和歌山県】平成30年度刊行　県民の友（お知らせ）一覧,平成30年度刊行県民の友（お知らせ）4月,300004_020400_kenmin_tomo_h30_news,98736711-e8d7-4e3f-98f1-de61b8c1be50
269,33,和歌山県,【和歌山県】平成30年度刊行　県民の友（お知らせ）一覧,平成30年度刊行県民の友（お知らせ）7月,300004_020400_kenmin_tomo_h30_news,ed40eb63-11e5-4f77-97ef-0a824257eb86
270,33,和歌山県,【和歌山県】平成30年度刊行　県民の友（お知らせ）一覧,平成30年度刊行県民の友（お知らせ）3月,300004_020400_kenmin_tomo_h30_news,75f36568-ef0b-4344-8158-43942549972d
271,33,和歌山県,【和歌山県】平成29年度刊行　県民の友（お知らせ）一覧,平成29年度刊行県民の友（お知らせ）7月,300004_020400_kenmin_tomo_h29_news,4456f17b-2db0-4fbb-a3b7-3f29dfe00637
272,33,和歌山県,【和歌山県】平成29年度刊行　県民の友（お知らせ）一覧,平成29年度刊行県民の友（お知らせ）7月,300004_020400_kenmin_tomo_h29_news,71da59f6-e757-4aa3-8325-9a13995dfb08
273,33,和歌山県,【和歌山県】平成29年度刊行　県民の友（催し）一覧,平成29年度刊行県民の友（催し）　4月,300004_020400_kenmin_tomo_h29_event,03ece12b-8cfe-4194-ba45-4db91796af85
274,33,和歌山県,【和歌山県】平成28年度刊行　県民の友（催し）一覧,平成28年度刊行県民の友（催し）　3月,300004_020400_kenmin_tomo_h28_event,e54d1567-4011-4f69-9d3b-984eb57792c0
275,32,和歌山県,【和歌山県】和歌山県立図書館（本館・紀南分館）の年間貸出ランキング,令和3年度和歌山県立紀南図書館貸出ランキング（児童書）,300004_500601_tosho_kashidashi,6537495c-0d68-4535-ab10-3c92c762253a
276,32,和歌山県,【和歌山県】データセットリスト,2023年01月のデータセット一覧,300004_dataset_list,059fd8d3-02df-4e93-b5f9-e7ab8c7e2c94
277,32,和歌山県,【和歌山県】データセットリスト,2022年10月のデータセット一覧,300004_dataset_list,d7e2b6ac-3bb6-4481-a4d0-48a7d24a41ad
278,32,和歌山県,【和歌山県】データセットリスト,2022年12月のデータセット一覧,300004_dataset_list,a71b916c-ee1b-4fa0-9a08-4a40d4e313f5
279,32,和歌山県,【和歌山県】データセットリスト,2022年05月のデータセット一覧,300004_dataset_list,1abdd110-0670-483e-9bfe-7a9293e14e61
280,32,和歌山県,【和歌山県】データセットリスト,2022年03月のデータセット一覧,300004_dataset_list,f385d466-de66-4fcb-8bb6-bff393fadcbb
281,32,和歌山県,【和歌山県】データセットリスト,2022年01月のデータセット一覧,300004_dataset_list,16573582-7696-460d-b2d6-1efd486aa48a
282,32,和歌山県,【和歌山県】データセットリスト,2021年12月のデータセット一覧,300004_dataset_list,32b97e7f-f8a4-4e3a-b33c-c428f8bb2914
283,32,和歌山県,【和歌山県】データセットリスト,2021年07月のデータセット一覧,300004_dataset_list,716d8412-3ddc-47d5-9c62-f872019e07c1
284,32,和歌山県,【和歌山県】データセットリスト,2023年07月のデータセット一覧,300004_dataset_list,da28ff1d-782f-4457-b801-a954d6b49b0c
285,32,和歌山県,【和歌山県】アクセス状況,2022年11月の閲覧数とダウンロード数,300004_status,6d905604-9197-4c4e-84d9-3e2944976017
286,32,和歌山県,【和歌山県】アクセス状況,2022年10月の閲覧数とダウンロード数,300004_status,53ebc5d7-7055-4f3d-9f45-eeee0c1d9abd
287,32,和歌山県,【和歌山県】アクセス状況,2022年08月の閲覧数とダウンロード数,300004_status,fb7a98c5-26de-4624-ae0f-ee7a63081491
288,32,和歌山県,【和歌山県】アクセス状況,2022年07月の閲覧数とダウンロード数,300004_status,191007b1-cefd-44d6-a025-e4685e5f2ca9
289,32,和歌山県,【和歌山県】アクセス状況,2022年06月の閲覧数とダウンロード数,300004_status,6486236e-dfaf-4f6a-90f4-a47c486b24c7
290,32,和歌山県,【和歌山県】アクセス状況,2022年03月の閲覧数とダウンロード数,300004_status,ebe75033-b2a7-4d4b-bad2-882138c9849a
291,32,和歌山県,【和歌山県】アクセス状況,2021年11月の閲覧数とダウンロード数,300004_status,2c69c325-4955-4cd5-a7d5-9892519ad3e5
292,32,和歌山県,【和歌山県】アクセス状況,2021年10月の閲覧数とダウンロード数,300004_status,a244f713-8c62-40d4-9da9-36ff4204d00e
293,32,和歌山県,【和歌山県】アクセス状況,2021年08月の閲覧数とダウンロード数,300004_status,d9113a19-3fa1-4c52-b412-5cb913f71343
294,32,和歌山県,【和歌山県】アクセス状況,2022年02月の閲覧数,300004_status,fb01c67d-df16-4dc6-abd4-0e15a562aa65
295,32,和歌山県,【和歌山県】アクセス状況,2022年12月のダウンロード数,300004_status,db154d77-65dc-4d6f-b4fd-2355c0c6b35c
296,32,和歌山県,【和歌山県】アクセス状況,2022年08月のダウンロード数,300004_status,2084859f-466b-4e76-b936-98777ab1b0d1
297,32,和歌山県,【和歌山県】アクセス状況,2022年03月のダウンロード数,300004_status,0370bea4-da2b-45f6-a556-c888f9b38b34
298,32,和歌山県,【和歌山県】アクセス状況,2023年03月の閲覧数とダウンロード数,300004_status,b21dacaa-e45d-4f2e-aa63-ae92d701f731
299,32,和歌山県,【和歌山県】アクセス状況,2023年05月の閲覧数とダウンロード数,300004_status,efc7934b-476a-4e3b-9ca5-6e5199b70dcb
300,32,和歌山県,【和歌山県】アクセス状況,2023年08月の閲覧数とダウンロード数,300004_status,5ad18a11-5bf1-4c6e-be00-49204e99903d
301,32,和歌山県,【和歌山県】アクセス状況,2023年11月の閲覧数とダウンロード数,300004_status,5c061acf-0ad9-4c38-9712-04568afab7b3
302,32,和歌山県,【和歌山県】アクセス状況,2023年12月の閲覧数とダウンロード数,300004_status,9400052c-6dff-44e3-adda-163aea73befb
303,32,和歌山県,【和歌山県】避難先情報一覧,避難先情報一覧　 上富田町,300004_011400_hinanjo,efd66af9-31b7-4ed2-9950-27f45c001746
304,32,和歌山県,【和歌山県】避難先情報一覧,避難先情報一覧　 古座川町,300004_011400_hinanjo,3cf7b532-35d6-405e-b590-4481ce1281fc
305,32,和歌山県,【和歌山県】病害虫発生予察事業年報,令和4年度病害虫発生予察事業年報,300004_hasseiyosatsu,af584f04-8013-4042-8857-217d1727a318
306,32,和歌山県,【和歌山県】病害虫発生予察事業年報,令和3年度病害虫発生予察事業年報,300004_hasseiyosatsu,93d1c136-eb90-43c0-bd24-9104a28c027c
307,32,和歌山県,【和歌山県】病害虫発生予察事業年報,平成27年度農作物有害動植物発生予察事業年報,300004_hasseiyosatsu,415aee01-9045-4998-9f23-8b876727db96
308,32,和歌山県,【和歌山県】県民の友（見出し）一覧,【和歌山県】県民の友_見出し一覧（CSV）,300004_022101_kenminnotomo_midashi,aaaba4d8-099d-446c-8a4e-4a408b8d89a5
309,32,和歌山県,【和歌山県】和歌山県職員採用試験実施結果総括表,令和4年度和歌山県職員採用試験実施結果総括表.csv,300004_210100_shikenjisshikekka,b71571fd-62c2-4d49-9c2e-b90ff2484eab
310,32,和歌山県,【和歌山県】和歌山県職員採用試験実施結果総括表,令和元年度和歌山県職員採用試験実施結果総括表.csv,300004_210100_shikenjisshikekka,35745e38-c84e-4936-88d4-7b554202e510
311,32,和歌山県,【和歌山県】和歌山県職員採用試験実施結果総括表,平成29年度和歌山県職員採用試験実施結果総括表.csv,300004_210100_shikenjisshikekka,83805a6d-c90e-4c76-8476-4c7c2d09f985
312,32,和歌山県,【和歌山県】和歌山県職員採用試験実施結果総括表,平成28年度和歌山県職員採用試験実施結果総括表.csv,300004_210100_shikenjisshikekka,6791af1b-f15a-4df1-b14a-df0de0ba4c25
313,32,和歌山県,【和歌山県】人事委員会勧告参考資料,令和４年職員の給与等に関する報告及び勧告（参考資料（４労働経済指標関係））,300004_kankokusankousiryou,d9b6a290-aef7-4399-b6a3-28a49634abd5
314,32,和歌山県,【和歌山県】人事委員会勧告参考資料,令和４年職員の給与等に関する報告及び勧告（参考資料（５企業職員及び技能・労務職関係））,300004_kankokusankousiryou,1aae0c6a-6a54-40d9-a788-5ca86b3b2815
315,32,和歌山県,【和歌山県】人事委員会勧告参考資料,令和３年人事委員会勧告参考資料,300004_kankokusankousiryou,b45d7b53-cadf-4e67-8fe0-38fde27ef507
316,32,和歌山県,【和歌山県】令和４年度刊行　県民の友（催し）一覧,令和4年度刊行県民の友（催し）　２月,300004_020400_kenmin_tomo_r4_event,cfd7a7f5-9b96-4415-a453-6365fd4ed63e
317,32,和歌山県,【和歌山県】令和４年度刊行　県民の友（催し）一覧,令和4年度刊行県民の友（催し）　１月,300004_020400_kenmin_tomo_r4_event,d039c556-251a-4fae-8b12-00da63ccc087
318,32,和歌山県,【和歌山県】令和４年度刊行　県民の友（催し）一覧,令和4年度刊行県民の友（催し）　１２月,300004_020400_kenmin_tomo_r4_event,2703ac3d-0529-4aad-8072-5ad6d4775906
319,32,和歌山県,【和歌山県】令和４年度刊行　県民の友（催し）一覧,令和4年度刊行県民の友（催し）　１１月,300004_020400_kenmin_tomo_r4_event,bcca6347-29d0-4eea-aef4-f0fe840e4118
320,32,和歌山県,【和歌山県】令和４年度刊行　県民の友（催し）一覧,令和4年度刊行県民の友（催し）　６月,300004_020400_kenmin_tomo_r4_event,7040f623-7cf2-4506-8ca0-5af3c05ad154
321,32,和歌山県,【和歌山県】令和４年度刊行　県民の友（催し）一覧,令和4年度刊行県民の友（催し）　８月,300004_020400_kenmin_tomo_r4_event,32ca6d9f-968f-4318-ab53-2d194f63702b
322,32,和歌山県,【和歌山県】令和４年度刊行　県民の友（お知らせ）一覧,令和4年度刊行県民の友（お知らせ）２月,300004_020400_kenmin_tomo_r4_news,fef01bf8-f851-4a91-9a55-fc96f00d073a
323,32,和歌山県,【和歌山県】令和４年度刊行　県民の友（お知らせ）一覧,令和4年度刊行県民の友（お知らせ）１月,300004_020400_kenmin_tomo_r4_news,ea0b2008-4104-4fdb-af5d-d1de37b803a9
324,32,和歌山県,【和歌山県】令和４年度刊行　県民の友（お知らせ）一覧,令和4年度刊行県民の友（お知らせ）１２月,300004_020400_kenmin_tomo_r4_news,49277e8a-a8cc-4447-8bb0-19c8ee01e8bd
325,32,和歌山県,【和歌山県】令和４年度刊行　県民の友（お知らせ）一覧,令和4年度刊行県民の友（お知らせ）９月,300004_020400_kenmin_tomo_r4_news,ab6287a2-ce2e-42c2-8e74-59f7f4632bbf
326,32,和歌山県,【和歌山県】令和４年度刊行　県民の友（お知らせ）一覧,令和4年度刊行県民の友（お知らせ）８月,300004_020400_kenmin_tomo_r4_news,b600a111-a502-403c-b19b-2e21a3539450
327,32,和歌山県,【和歌山県】令和４年度刊行　県民の友（お知らせ）一覧,令和4年度刊行県民の友（お知らせ）７月,300004_020400_kenmin_tomo_r4_news,ee616934-0ab8-46f5-a0ad-fd6450234460
328,32,和歌山県,【和歌山県】令和４年度刊行　県民の友（お知らせ）一覧,令和4年度刊行県民の友（お知らせ）６月,300004_020400_kenmin_tomo_r4_news,05ae764b-a3c5-4de7-b247-4eaec3ff0a6d
329,32,和歌山県,【和歌山県】令和４年度刊行　県民の友（お知らせ）一覧,令和4年度刊行県民の友（お知らせ）５月,300004_020400_kenmin_tomo_r4_news,c24d04b2-4449-4c8e-95a6-92980d1ba2cb
330,32,和歌山県,【和歌山県】令和４年度刊行　県民の友（お知らせ）一覧,令和4年度刊行県民の友（お知らせ）４月,300004_020400_kenmin_tomo_r4_news,edd4f8ee-8dd2-4626-baf7-fab618463e6b
331,32,和歌山県,【和歌山県】福祉保健施設一覧,2-(1)～(7)児童福祉施設等,300004_fukushishisetu,7c6c3329-1826-4d83-bae2-fad4b9c6e15b
332,32,和歌山県,【和歌山県】福祉保健施設一覧,2-(8)(9)児童福祉施設等,300004_fukushishisetu,5f604df5-8886-4465-8ce1-ac6795a25866
333,32,和歌山県,【和歌山県】水質汚濁防止法に基づく特定事業場一覧,note.pdf,300004_waterlist,f6076de3-0233-4012-af76-bd161786f709
334,32,和歌山県,【和歌山県】電子申請利用状況,令和2年度電子申請利用状況について,300004_010100_denshishinseiriyoujyoukyou,c6e652a2-8a82-4c9c-9c24-f6a1f4b5b467
335,32,和歌山県,【和歌山県】洪水浸水想定区域図,紀の川水系 和田川浸水想定（想定最大規模）,300004_kasenka01,76a713a7-00aa-43ab-93b8-18f5cc283e82
336,32,和歌山県,【和歌山県】洪水浸水想定区域図,日置川水系 日置川浸水想定（想定最大規模）,300004_kasenka01,31fa04ee-94c3-4385-8f8a-4180d9185588
337,32,和歌山県,【和歌山県】洪水浸水想定区域図,紀の川水系 和田川浸水想定（想定最大規模）シェープファイル,300004_kasenka01,fcd067a8-88ae-45f8-b899-e6f02bcb8532
338,32,和歌山県,【和歌山県】洪水浸水想定区域図,日高川水系 日高川浸水想定（想定最大規模）シェープファイル,300004_kasenka01,029215dd-d856-4cb4-8ed7-0e6d7cea5c0b
339,32,和歌山県,【和歌山県】高野・熊野エリアと白浜エリアの路線バス情報のオープンデータ「標準的なバス情報フォーマット（GTFS-JP）」,GTFS_meiko.zip,300004_062500_koyakumano4,4b5e8eeb-5b39-4631-99bc-a11e21114cb4
340,32,和歌山県,【和歌山県】南紀熊野ジオパークの見どころ一覧,南紀熊野ジオパーク見どころ一覧,300004_geopark001,2242fff8-d9a1-449e-9a95-11ea9fc97fb0
341,32,和歌山県,【和歌山県】令和３年度版 市町村税政の概況,表紙・目次（本編）,300004_010600_zeiseinogaikyou_r3,39caf1cc-b6f4-4cdc-b018-dbc7962c3027
342,32,和歌山県,【和歌山県】令和３年度版 市町村税政の概況,令和２年度市町村税の決算状況,300004_010600_zeiseinogaikyou_r3,68423a08-2a71-4c2b-ba19-450eae80e898
343,32,和歌山県,【和歌山県】令和３年度版 市町村税政の概況,市町村民税の状況,300004_010600_zeiseinogaikyou_r3,9858285d-de2e-4700-980f-2767a412c5a3
344,32,和歌山県,【和歌山県】令和３年度版 市町村税政の概況,固定資産税の状況,300004_010600_zeiseinogaikyou_r3,6ba69974-ae0f-412c-b7d9-061b64517a66
345,32,和歌山県,【和歌山県】令和３年度版 市町村税政の概況,令和２年度徴収実績の状況,300004_010600_zeiseinogaikyou_r3,24187f94-ce15-46e8-a842-03ddb5c2fe97
346,32,和歌山県,【和歌山県】令和３年度版 市町村税政の概況,普通交付税の概要,300004_010600_zeiseinogaikyou_r3,5e5a61f8-03fa-4966-a0f0-5b27ae1ee60c
347,32,和歌山県,【和歌山県】令和３年度版 市町村税政の概況,地方特例交付金の概要,300004_010600_zeiseinogaikyou_r3,adc53f62-a52f-4374-b9ee-92dac42498fc
348,32,和歌山県,【和歌山県】令和３年度版 市町村税政の概況,表紙・目次（資料編）,300004_010600_zeiseinogaikyou_r3,f426e8af-69aa-41bf-8a15-802bed5e6d0c
349,32,和歌山県,【和歌山県】令和３年度版 市町村税政の概況,第３ 令和３年度固定資産に関する概要調書等報告署（令和３年１月１日現在）.xls,300004_010600_zeiseinogaikyou_r3,a020ff21-82c6-4d72-8a55-0c7f4312eeab
350,32,和歌山県,【和歌山県】市町村財政状況資料集（令和元年度）,04 有田市,300004_010600_zaiseizyoukyoushiryousyuu,da7694e3-7d1e-479d-9d31-deb9f3e76807
351,32,和歌山県,【和歌山県】市町村財政状況資料集（令和元年度）,05 御坊市,300004_010600_zaiseizyoukyoushiryousyuu,e86a6d6d-1428-4f83-b2cd-e9088b7385b2
352,32,和歌山県,【和歌山県】市町村財政状況資料集（令和元年度）,06 田辺市,300004_010600_zaiseizyoukyoushiryousyuu,b5a62ae9-93b9-4b8f-aa70-a0220c8d554f
353,32,和歌山県,【和歌山県】市町村財政状況資料集（令和元年度）,12 九度山町,300004_010600_zaiseizyoukyoushiryousyuu,831f50d9-1466-4229-998e-ee82db9058e6
354,32,和歌山県,【和歌山県】市町村財政状況資料集（令和元年度）,13 高野町,300004_010600_zaiseizyoukyoushiryousyuu,fa4365fb-e6e3-40ae-ba63-5a8d99dda9a3
355,32,和歌山県,【和歌山県】市町村財政状況資料集（令和元年度）,15 広川町,300004_010600_zaiseizyoukyoushiryousyuu,e605c73d-6ef3-40fd-a4a0-a490528f7238
356,32,和歌山県,【和歌山県】市町村財政状況資料集（令和元年度）,18 日高町,300004_010600_zaiseizyoukyoushiryousyuu,6a4bf60a-e5ad-4e4e-8fc3-ae03531e0089
357,32,和歌山県,【和歌山県】市町村財政状況資料集（令和元年度）,25 すさみ町,300004_010600_zaiseizyoukyoushiryousyuu,441ca2d7-15da-4c07-a013-0c0ecc8dec87
358,32,和歌山県,【和歌山県】市町村財政状況資料集（令和元年度）,27 太地町,300004_010600_zaiseizyoukyoushiryousyuu,08c584db-5667-4b2b-a4fe-3071f48f8361
359,32,和歌山県,【和歌山県】市町村財政状況資料集（令和元年度）,29 北山村,300004_010600_zaiseizyoukyoushiryousyuu,f37eb7c2-1d3f-4af1-9ec3-ae214d0aeace
360,32,和歌山県,【和歌山県】和歌山県内市町村等に係る令和元年度決算の概要について,和歌山県内市町村等に係る令和元年度決算の概要（詳細版）,300004_010600_kessannogaiyou,ea593ba2-ede1-45fa-b537-a6faf920bde2
361,32,和歌山県,【和歌山県】肝がん・重度肝硬変治療研究促進事業指定医療機関名簿,和歌山県肝がん・重度肝硬変治療研究促進事業指定医療機関,300004_lung_cancer_hospital_list,7852ce33-50a8-4b1d-8bfd-71cf164ad9cf
362,32,和歌山県,【和歌山県】指定医療機関一覧,和歌山県指定医療機関（病院・診療所）一覧,300004_nanbyou,99fb3bff-92dc-4b3d-9c5f-a1c83c2c0bb9
363,32,和歌山県,【和歌山県】指定医療機関一覧,和歌山県指定医療機関（訪問看護ステーション等）一覧,300004_nanbyou,80ef6a89-51a2-44bb-9d70-cf994b1c4b72
364,32,和歌山県,【和歌山県】指定医療機関一覧,和歌山県指定医療機関（歯科）一覧,300004_nanbyou,16ea52ff-e879-47e1-bb5c-a33c7f813bea
365,32,和歌山県,【和歌山県】指定医療機関一覧,和歌山県指定医療機関（薬局）一覧,300004_nanbyou,4e759742-57e7-4048-8069-eff28725b2b9
366,32,和歌山県,【和歌山県】指定医療機関一覧,和歌山県指定医療機関（訪問看護ステーション等）一覧,300004_nanbyou,20e82ac9-6403-46d5-aa56-47c2e37a0dd9
367,32,和歌山県,【和歌山県】県税総括表,決算件数調（税目別）（令和２年度）,300004_010500_wakayama_zeimutoukei,b7802fab-23e2-4a8b-a7f1-e443b25d60a7
368,32,和歌山県,【和歌山県】物品電子調達システムによる入札結果,和歌山県　物品電子調達システムの入札結果一覧,300004_120200_buccho_nyusatsu_01,7e705b85-d8f8-447c-94cf-45b415f20093
369,32,和歌山県,【和歌山県】公共工事等に関する入札結果,和歌山県公共工事等に関する入札結果　平成１７年度　（県土整備部）,300004_081100_koji_nyusatsu_kekka,44d11b23-b3c0-4d04-93a9-0d84c90644c4
370,32,和歌山県,【和歌山県】公共工事等に関する入札結果,和歌山県公共工事等に関する入札結果　平成１９年度　（県土整備部）,300004_081100_koji_nyusatsu_kekka,f7b62b86-2ea0-4fb2-869a-abffc54bbc77
371,32,和歌山県,【和歌山県】公共工事等に関する入札結果,和歌山県公共工事等に関する入札結果　平成２０年度　（県土整備部）,300004_081100_koji_nyusatsu_kekka,7ef52535-d21d-4ae4-bcb6-4dc798eb6b55
372,32,和歌山県,【和歌山県】公共工事等に関する入札結果,和歌山県公共工事等に関する入札結果　平成２２年度　（県土整備部）,300004_081100_koji_nyusatsu_kekka,63d284b4-fb94-48fe-82bb-4f295719bdbc
373,32,和歌山県,【和歌山県】公共工事等に関する随意契約,和歌山県公共工事等に関する随意契約　工事及び工事に係る業務 　平成２８年度　（県土整備部）,300004_081100_koji_zuikei,eb1d37c9-da77-4091-9c13-cc93c4e07c23
374,32,和歌山県,【和歌山県】公共工事等に関する随意契約,和歌山県公共工事等に関する随意契約　工事及び工事に係る業務 　平成３０年度　（県土整備部）,300004_081100_koji_zuikei,7a207489-fad3-4660-8060-6d35294971f1
375,32,和歌山県,【和歌山県】公共工事等に関する随意契約,和歌山県公共工事等に関する随意契約　工事及び工事に係る業務 　令和２年度　（県土整備部）,300004_081100_koji_zuikei,29567262-6d25-44a3-b267-b7500eb610c7
376,32,和歌山県,【和歌山県】公共工事等に関する随意契約,和歌山県公共工事等に関する随意契約　工事及び工事に係る業務 　令和２年度　（公営企業課）,300004_081100_koji_zuikei,041ea238-9938-4cbe-81b3-07c78d57d67f
377,32,和歌山県,【和歌山県】公共工事等に関する随意契約,和歌山県公共工事等に関する随意契約　工事及び工事に係る業務 　平成３０年度　（農林水産部）,300004_081100_koji_zuikei,65ec1507-a213-40af-b084-0069491713ba
378,32,和歌山県,【和歌山県】公共工事等に関する随意契約,和歌山県公共工事等に関する随意契約　用地取得に係る業務委託 　平成２６年度　（県土整備部）,300004_081100_koji_zuikei,2aec52f9-b96d-4158-99a9-0df895f7c4b6
379,32,和歌山県,【和歌山県】公共工事等に関する随意契約,和歌山県公共工事等に関する随意契約　用地取得に係る業務委託 　平成２７年度　（県土整備部）,300004_081100_koji_zuikei,8358d43b-7f3b-4b80-8ca1-2fc858ceb303
380,32,和歌山県,【和歌山県】公共工事等に関する随意契約,和歌山県公共工事等に関する随意契約　用地取得に係る業務委託 　平成２８年度　（県土整備部）,300004_081100_koji_zuikei,4b661f0a-4e71-4988-aa74-d314c6644392
381,32,和歌山県,【和歌山県】公共工事等に関する随意契約,和歌山県公共工事等に関する随意契約　用地取得に係る業務委託 　令和元年度　（県土整備部）,300004_081100_koji_zuikei,c5b60dec-4f6e-4946-b897-1d3a0bc32204
382,32,和歌山県,【和歌山県】公共工事等に関する随意契約,和歌山県公共工事等に関する随意契約　用地取得に係る業務委託  　令和２年度　（県土整備部）,300004_081100_koji_zuikei,33cae2d0-04dc-4a30-a3b6-eb00ab7e567a
383,32,和歌山県,【和歌山県】国勢調査　時系列データ,１表　男女別人口及び世帯数の推移,300004_020300_kokuseichosa,502068fc-a066-4d7f-ad29-0b24ed29dd18
384,32,和歌山県,【和歌山県】国勢調査　時系列データ,２表　年齢3区分・男女別人口、割合その1（昭和55年）,300004_020300_kokuseichosa,1494f127-cb1a-4684-a7a6-58290e6a7a2c
385,32,和歌山県,【和歌山県】国勢調査　時系列データ,２表　年齢3区分・男女別人口、割合その1（平成7年）,300004_020300_kokuseichosa,891cce22-7bec-42b5-9002-ce1117c7a9cb
386,32,和歌山県,【和歌山県】国勢調査　時系列データ,２表　年齢3区分・男女別人口、割合その1（平成22年）,300004_020300_kokuseichosa,60b1fb66-d1f0-4508-ba8f-bf58d6e8aefc
387,32,和歌山県,【和歌山県】国勢調査　時系列データ,２表　年齢3区分・男女別人口、割合その1（平成27年）,300004_020300_kokuseichosa,0214338c-936c-4e48-aa34-e23b9710a62f
388,32,和歌山県,【和歌山県】国勢調査　時系列データ,２表　年齢3区分・男女別人口、割合その2（昭和55年）,300004_020300_kokuseichosa,c0648239-d530-47cf-80ea-2c57e183ee51
389,32,和歌山県,【和歌山県】国勢調査　時系列データ,２表　年齢3区分・男女別人口、割合その2（平成7年）,300004_020300_kokuseichosa,f68cd94b-7cf5-4d90-86d7-a8f8aacaca24
390,32,和歌山県,【和歌山県】国勢調査　時系列データ,２表　年齢3区分・男女別人口、割合その2（平成22年）,300004_020300_kokuseichosa,777c2cea-fa16-4418-afa4-da7d6739980d
391,32,和歌山県,【和歌山県】国勢調査　時系列データ,２表　年齢3区分・男女別人口、割合その2（平成27年）,300004_020300_kokuseichosa,b266f7bd-86b1-4460-81ab-fa87686e5d50
