順位,ダウンロード数,自治体名,データセット・タイトル,リソース名,データセット名,リソースid
16,38,和歌山県,【和歌山県】オープンデータ一覧（推奨データセット準拠）,300004_open_data_list.xlsx,300004_open_data_list,18abd133-5ef1-4a0b-9198-2b5d6b813a5b
17,38,和歌山県,【和歌山県】令和２年度刊行　県民の友（催し）一覧,令和２年度刊行県民の友（催し）　7月,300004_020400_kenmin_tomo_r2_event,5b96573c-f1aa-416a-8adb-faa16caf5857
18,38,和歌山県,【和歌山県】令和２年度刊行　県民の友（催し）一覧,令和２年度刊行県民の友（催し）　10月,300004_020400_kenmin_tomo_r2_event,3bf1b838-4074-456f-911f-2cac29ae8a19
19,37,和歌山県,【和歌山県】データセットリスト,2023年2月のデータセット一覧,300004_dataset_list,dc900696-7edf-4d3e-923e-7d117260c9f5
20,37,和歌山県,【和歌山県】データセットリスト,2023年09月のデータセット一覧,300004_dataset_list,2d9fb106-98b8-45a2-b2a6-22dcec49d007
21,37,和歌山県,【和歌山県】アクセス状況,2022年12月の閲覧数,300004_status,a7f10795-c9b8-46dd-bbc8-160a865fee77
22,37,和歌山県,【和歌山県】アクセス状況,2022年05月の閲覧数,300004_status,f5641085-2971-4795-8b14-09c46fa6517c
23,37,和歌山県,【和歌山県】アクセス状況,2021年09月の閲覧数,300004_status,8dbf3e44-b9b2-4e02-8736-52703dd2c816
24,37,和歌山県,【和歌山県】オープンデータ一覧（推奨データセット準拠）,300004_open_data_list.csv,300004_open_data_list,828584d8-dbd7-4438-a6fc-319170fbdea9
25,37,和歌山県,【和歌山県】フリーWi-Fiの設置施設,和歌山県　フリーWi-Fiの設置施設,300004_062500_free_wifi,d279c006-3aa2-476d-804c-5b565a46b613
26,37,和歌山県,【和歌山県】令和２年度刊行　県民の友（催し）一覧,令和２年度刊行県民の友（催し）　11月,300004_020400_kenmin_tomo_r2_event,5e2cdfd7-ef3f-4ab1-b303-24af0b7b700c
27,37,和歌山県,【和歌山県】令和２年度刊行　県民の友（催し）一覧,令和２年度刊行県民の友（催し）　１月,300004_020400_kenmin_tomo_r2_event,4365bf6e-f176-4aa4-8ed0-2f4c48929a7a
28,37,和歌山県,【和歌山県】平成31年度刊行　県民の友（お知らせ）一覧,平成31年度刊行県民の友（お知らせ）10月,300004_020400_kenmin_tomo_h31_news,2caad5ca-2fde-4460-b627-0523a07d859d
29,36,和歌山県,【和歌山県】データセットリスト,2023年03月のデータセット一覧,300004_dataset_list,4cf8e5ce-fc31-4046-934b-14614004b81b
30,36,和歌山県,【和歌山県】データセットリスト,2022年06月のデータセット一覧,300004_dataset_list,95f57dda-32bd-49aa-ab5a-6da9692f40f2
31,36,和歌山県,【和歌山県】アクセス状況,2023年2月の閲覧数,300004_status,19c1aa8f-7a4b-4e0f-b741-fdcd347aa7aa
32,36,和歌山県,【和歌山県】アクセス状況,2022年06月の閲覧数,300004_status,0d30841d-ffaf-4842-9308-f73f30944371
33,36,和歌山県,【和歌山県】アクセス状況,2022年04月の閲覧数,300004_status,4e9667da-6a94-404b-aeb9-c6d8bde85c7d
34,36,和歌山県,【和歌山県】アクセス状況,2022年01月の閲覧数,300004_status,37414f43-e0ac-443c-9465-35a9639586ca
35,36,和歌山県,【和歌山県】アクセス状況,2021年07月の閲覧数,300004_status,3ff036e7-4708-4250-8ba0-380558ea51c6
36,36,和歌山県,【和歌山県】アクセス状況,2022年09月のダウンロード数,300004_status,aab17a69-9eeb-47e8-ae5f-5f03185a7084
37,36,和歌山県,【和歌山県】アクセス状況,2022年06月のダウンロード数,300004_status,cd4bca99-dda4-4400-8123-cf58186d062d
