市町村名,№,トイレ名　　　　　　　　　　　　　　　　　　　　　　　　　　　,住所,緯度,経度,現況写真　　（外観、内部）,利用可能時間,一般利用者用駐車場・無料,一般利用者用駐車場・有料,障害者用駐車場,駐車場スペース,多目的トイレ設備内容・洋式,多目的トイレ設備内容・ベビーベッド,多目的トイレ設備内容・ベビーチェア,多目的トイレ設備内容・介護用ベッド,多目的トイレ設備内容・温水洗浄洗浄,多目的トイレ設備内容・オストメイト洗浄,一般トイレ設備内容・男性用トイレ・洋式,一般トイレ設備内容・男性用トイレ・温水洗浄便座,一般トイレ設備内容・男性用トイレ・和式,一般トイレ設備内容・男性用トイレ・小便器,一般トイレ設備内容・男性用トイレ・荷物置き場,一般トイレ設備内容・男性用トイレ・ベビーベッド,一般トイレ設備内容・男性用トイレ・ベビーチェア,一般トイレ設備内容・男性用トイレ・音姫,一般トイレ設備内容・女性用トイレ・洋式,一般トイレ設備内容・女性用トイレ・温水洗浄便座,一般トイレ設備内容・女性用トイレ・和式,一般トイレ設備内容・女性用トイレ・小便器,一般トイレ設備内容・女性用トイレ・荷物置き場,一般トイレ設備内容・女性用トイレ・ベビーベッド,一般トイレ設備内容・女性用トイレ・ベビーチェア,一般トイレ設備内容・女性用トイレ・音姫,設備備考
和歌山市,3,友ヶ島池尻公衆トイレ,和歌山市加太字笘ヶ沖島2673-1,34.28081,135.00201,あり,終日,,,,,1,,,,,,1,,1,4,フック,,,,2,,2,,フック,,,,
和歌山市,4,友ヶ島第３砲台跡下公衆トイレ,和歌山市加太字笘ヶ沖島2673-1,34.280721,135.006554,あり,終日,,,,,,,,,,,,,1,2,,,,,1,,1,,,,,,
和歌山市,5,加太大波止公衆トイレ,和歌山市加太118,34.274064,135.066396,あり,終日,,,,,1,1,,,1,,,,1,1(1),,,,,1,1,2,,フック,,,,
和歌山市,6,深山海岸公衆トイレ,和歌山市深山地内,34.288084,135.071741,あり,終日,,,,,1,1,,,,,,,1(1),1(1),,,,,,,,,,,,,男女兼用
和歌山市,7,加太海岸公衆トイレ,和歌山市加太地先,34.276639,135.073606,あり,終日,,,,,1,,1,1,1,,,,1,2(1),,,1,,,,2(2),,フック,,1,,
和歌山市,8,磯の浦海水浴場公衆トイレ,和歌山市磯の浦379番地先,34.259729,135.094753,あり,終日,,,,,1,1,1,,1,,1,1,2,5(1),フック,,,,2,2,3,,フック,,,,
和歌山市,9,和歌浦公衆トイレ,和歌山市新和歌浦1-1,34.187586,135.161332,あり,終日,,,,,1,1,1,,1,,,,1(1),3(1),棚,,,,1(1),1,1(1),,棚/フック,,,有,
和歌山市,10,加太船着場公衆トイレ,和歌山市加太地先,34.274964,135.070282,あり,終日,,,,,,,,,,,1,,,1,,,,,,,,,,,,,男女兼用
和歌山市,11,和歌山公園内西の丸公衆トイレ,和歌山市一番丁3番地,34.229036,135.170653,あり,終日,,,,,2,1,,,2,,1,1,1,6,フック,,,,1,1,5,,フック,,1,有,女性用の温水洗浄便座は洋にのみ、多目的２つ有
和歌山市,12,和歌山公園内砂の丸公衆トイレ,和歌山市一番丁3番地,34.227578,135.16957,あり,終日,,,,,,,,,,,,,1,2(2),棚,,,,,,1,,フック,,,,
