都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,データ名称,データ概要,データ形式,分類,更新頻度,URL,API対応有無,ライセンス,登録日,最終更新日,備考
300004,1400000001,和歌山県,,【和歌山県】農林大学校受験者数、入学者数の推移,和歌山県農林大学校の受験者数と入学者数の推移です。,XLSX,教育・文化・スポーツ・生活,,https://data.bodik.jp/dataset/300004_norin_juken,有,Creative　Commons　Attribution　4.0　International,2022-05-17,2022-07-14,
300004,1400000002,和歌山県,,【和歌山県】データセットリスト,データセットの一覧です。,XLSX,その他,１ヶ月に１回,https://data.bodik.jp/dataset/300004_dataset_list,有,Creative　Commons　Attribution　4.0　International,2021-08-02,2023-03-08,
300004,1400000003,和歌山県,,【和歌山県】電子申請利用状況,和歌山県DX推進室のお知らせに掲載している電子申請の利用状況に関する情報です。,CSV,行財政,,https://data.bodik.jp/dataset/300004_010100_denshishinseiriyoujyoukyou,有,Creative　Commons　Attribution　4.0　International,2022-03-18,2023-02-14,
300004,1400000004,和歌山県,,【和歌山県】和歌山県職員採用試験実施結果総括表,和歌山県職員採用試験の申込者、合格者数など、過去の実施結果を掲載しています。,"CSV,　HTML",行財政,,https://data.bodik.jp/dataset/300004_210100_shikenjisshikekka,有,Creative　Commons　Attribution　4.0　International,2021-10-19,2022-07-14,
300004,1400000005,和歌山県,,【和歌山県】アクセス状況,google　analyticsから取得したodcs内のオープンデータについての自治体毎のアクセス状況です。,XLSX,その他,１ヶ月に１回,https://data.bodik.jp/dataset/300004_status,有,Creative　Commons　Attribution　4.0　International,2021-08-02,2023-03-08,
300004,1400000006,和歌山県,,【和歌山県】令和４年度刊行　県民の友（催し）一覧,和歌山県の広報紙「県民の友」の催し欄掲載の情報です。,"CSV,　XLSX",行財政,１ヶ月に１回,https://data.bodik.jp/dataset/300004_020400_kenmin_tomo_r4_event,有,Creative　Commons　Attribution　4.0　International,2022-04-26,2023-03-08,
300004,1400000007,和歌山県,,【和歌山県】平成３０年度国民健康保険事業状況「紀州の国保」,和歌山県における国民健康保険の事業概要、統計情報を掲載しています。,HTML,社会保障・衛生,,https://data.bodik.jp/dataset/300004_050600_kishunokokuho,有,Creative　Commons　Attribution　4.0　International,2021-10-28,2022-08-31,
300004,1400000008,和歌山県,,【和歌山県】令和４年度刊行　県民の友（お知らせ）一覧,和歌山県の広報紙「県民の友」のお知らせ欄掲載の情報です。,"CSV,　XLSX",行財政,１ヶ月に１回,https://data.bodik.jp/dataset/300004_020400_kenmin_tomo_r4_news,有,Creative　Commons　Attribution　4.0　International,2022-04-26,2023-03-08,
300004,1400000009,和歌山県,,【和歌山県】令和３年度刊行　県民の友（お知らせ）一覧,和歌山県の広報紙「県民の友」のお知らせ欄掲載の情報です。,"CSV,　JSON",行財政,１ヶ月に１回,https://data.bodik.jp/dataset/300004_020400_kenmin_tomo_r3_news,有,Creative　Commons　Attribution　4.0　International,2021-07-14,2022-07-14,
300004,1400000010,和歌山県,,【和歌山県】令和３年度刊行　県民の友（催し）一覧,和歌山県の広報紙「県民の友」の催し欄掲載の情報です。,"CSV,　JSON",行財政,１ヶ月に１回,https://data.bodik.jp/dataset/300004_020400_kenmin_tomo_r3_event,有,Creative　Commons　Attribution　4.0　International,2021-07-14,2022-07-14,
